aro,name,definition,is_a
"ARO:3000937","TEM-71","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3004142","OprZ","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002653","APH(3')-VIb","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3001974","CTX-M-114","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000962","TEM-95","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3003121","OXA-430","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3001861","IMI-4","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002782","QnrB70","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002255","CARB-16","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000026","mepA","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000963","TEM-96","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3001773","OXA-61","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000263","marA","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000881","TEM-9","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002508","PDC-9","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3005282","PDC-413","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3004678","rmtE","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000815","mgrA","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3003600","OXA-444","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002949","vanXA","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002999","CblA-1","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002374","VEB-6","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002560","AAC(6')-Iq","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3004450","TRU-1","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3003128","OXA-436","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002045","CMY-34","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002537","AAC(3)-IIIb","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3003578","PmrF","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3001711","OXA-212","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002088","CMY-75","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000783","cmeA","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3005264","TEM-233","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3001201","SHV-162","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002798","QnrS9","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3004107","Pseudomonas aeruginosa soxR","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002826","EreA2","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3003791","Enterococcus faecalis liaS mutant conferring daptomycin resistance","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3001374","TEM-185","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3003171","ACT-36","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002622","aadA6/aadA10","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3001376","TEM-196","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3003461","Mycobacterium tuberculosis ndh with mutation conferring resistance to isoniazid","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3001844","ACT-24","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002339","GES-10","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002841","vatB","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3002829","vgaA","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3001793","OXA-320","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3003301","Staphylococcus aureus gyrB conferring resistance to aminocoumarin","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3001053","TEM-193","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3001990","CTX-M-131","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3004091","ANT(3'')-IIc","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
