pathogen,resistance,criteria,model type
"Raoultella planticola","ARO:3002320","perfect_strict","protein homolog model"
"Staphylococcus aureus","ARO:3003196","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3003196","perfect_strict","protein homolog model"
"Enterococcus faecalis","ARO:3003196","perfect_strict","protein homolog model"
"Bacillus cereus","ARO:3003196","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3003196","perfect_strict","protein homolog model"
"Streptococcus pyogenes","ARO:3003196","perfect_strict","protein homolog model"
"Enterococcus casseliflavus","ARO:3003196","perfect_strict","protein homolog model"
"Campylobacter jejuni","ARO:3003196","perfect_strict","protein homolog model"
"Enterococcus faecium","ARO:3003196","perfect_strict","protein homolog model"
"Bacillus anthracis","ARO:3003196","perfect_strict","protein homolog model"
"Staphylococcus haemolyticus","ARO:3003196","perfect_strict","protein homolog model"
"Bacillus subtilis","ARO:3003196","perfect_strict","protein homolog model"
"Campylobacter coli","ARO:3003196","perfect_strict","protein homolog model"
"Streptococcus agalactiae","ARO:3003196","perfect_strict","protein homolog model"
"Staphylococcus epidermidis","ARO:3003196","perfect_strict","protein homolog model"
"Morganella morganii","ARO:3003196","perfect_strict","protein homolog model"
"Enterococcus hirae","ARO:3003196","perfect_strict","protein homolog model"
"Streptococcus suis","ARO:3003196","perfect_strict","protein homolog model"
"Staphylococcus hominis","ARO:3003196","perfect_strict","protein homolog model"
"Staphylococcus simulans","ARO:3003196","perfect_strict","protein homolog model"
"Streptococcus lutetiensis","ARO:3003196","perfect_strict","protein homolog model"
"Streptococcus anginosus","ARO:3003196","perfect_strict","protein homolog model"
"Staphylococcus saprophyticus","ARO:3003196","perfect_strict","protein homolog model"
"Staphylococcus pseudintermedius","ARO:3003196","perfect_strict","protein homolog model"
"Bacillus amyloliquefaciens","ARO:3003196","perfect_strict","protein homolog model"
"Lactobacillus johnsonii","ARO:3003196","perfect_strict","protein homolog model"
"Bacillus tequilensis","ARO:3003196","perfect_strict","protein homolog model"
"Bacillus velezensis","ARO:3003196","perfect_strict","protein homolog model"
"Gardnerella vaginalis","ARO:3003196","perfect_strict","protein homolog model"
"Megasphaera stantonii","ARO:3003196","perfect_strict","protein homolog model"
"Rhizobium leguminosarum","ARO:3003196","perfect_strict","protein homolog model"
"Streptococcus equinus","ARO:3003196","perfect_strict","protein homolog model"
"Streptococcus pasteurianus","ARO:3003196","perfect_strict","protein homolog model"
"Acinetobacter johnsonii","ARO:3001711","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001557","perfect","protein homolog model"
"Acinetobacter baumannii","ARO:3001557","perfect_strict","protein homolog model"
"Staphylococcus aureus","ARO:3003552","perfect","protein homolog model"
"Staphylococcus aureus","ARO:3003552","perfect_strict","protein homolog model"
"Staphylococcus haemolyticus","ARO:3003552","perfect","protein homolog model"
"Staphylococcus haemolyticus","ARO:3003552","perfect_strict","protein homolog model"
"Staphylococcus epidermidis","ARO:3003552","perfect","protein homolog model"
"Staphylococcus epidermidis","ARO:3003552","perfect_strict","protein homolog model"
"Staphylococcus hominis","ARO:3003552","perfect","protein homolog model"
"Staphylococcus hominis","ARO:3003552","perfect_strict","protein homolog model"
"Staphylococcus lugdunensis","ARO:3003552","perfect","protein homolog model"
"Staphylococcus lugdunensis","ARO:3003552","perfect_strict","protein homolog model"
"Staphylococcus pasteuri","ARO:3003552","perfect","protein homolog model"
"Staphylococcus pasteuri","ARO:3003552","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3001980","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001980","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3001980","perfect","protein homolog model"
"Enterobacter hormaechei","ARO:3001980","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002372","perfect","protein homolog model"
"Escherichia coli","ARO:3002372","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002372","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3002372","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002372","perfect","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002372","perfect_strict","protein homolog model"
"Aeromonas hydrophila","ARO:3002372","perfect_strict","protein homolog model"
"Enterobacter cloacae","ARO:3002372","perfect","protein homolog model"
"Enterobacter cloacae","ARO:3002372","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3002372","perfect","protein homolog model"
"Citrobacter freundii","ARO:3002372","perfect_strict","protein homolog model"
"Aeromonas caviae","ARO:3002372","perfect","protein homolog model"
"Aeromonas caviae","ARO:3002372","perfect_strict","protein homolog model"
"Providencia rettgeri","ARO:3002372","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3002372","perfect","protein homolog model"
"Enterobacter hormaechei","ARO:3002372","perfect_strict","protein homolog model"
"Vibrio parahaemolyticus","ARO:3002372","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3002835","perfect_strict","protein homolog model"
"Staphylococcus aureus","ARO:3002835","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002835","perfect_strict","protein homolog model"
"Streptococcus pneumoniae","ARO:3002835","perfect_strict","protein homolog model"
"Enterococcus faecalis","ARO:3002835","perfect_strict","protein homolog model"
"Listeria monocytogenes","ARO:3002835","perfect_strict","protein homolog model"
"Enterococcus faecium","ARO:3002835","perfect_strict","protein homolog model"
"Staphylococcus haemolyticus","ARO:3002835","perfect_strict","protein homolog model"
"Staphylococcus epidermidis","ARO:3002835","perfect_strict","protein homolog model"
"Enterococcus hirae","ARO:3002835","perfect_strict","protein homolog model"
"Streptococcus suis","ARO:3002835","perfect_strict","protein homolog model"
"Staphylococcus hominis","ARO:3002835","perfect_strict","protein homolog model"
"Staphylococcus simulans","ARO:3002835","perfect_strict","protein homolog model"
"Staphylococcus saprophyticus","ARO:3002835","perfect_strict","protein homolog model"
"Listeria innocua","ARO:3002835","perfect_strict","protein homolog model"
"Staphylococcus pseudintermedius","ARO:3002835","perfect_strict","protein homolog model"
"Lactobacillus johnsonii","ARO:3002835","perfect_strict","protein homolog model"
"Macrococcus canis","ARO:3002835","perfect_strict","protein homolog model"
"Lactobacillus crispatus","ARO:3002835","perfect_strict","protein homolog model"
"Staphylococcus pasteuri","ARO:3002835","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3003386","perfect_strict","protein variant model"
"Escherichia coli","ARO:3003386","perfect_strict","protein variant model"
"Klebsiella oxytoca","ARO:3003386","perfect_strict","protein variant model"
"Enterobacter hormaechei","ARO:3003386","perfect_strict","protein variant model"
"Citrobacter portucalensis","ARO:3003386","perfect_strict","protein variant model"
"Escherichia coli","ARO:3003163","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3003163","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3003163","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002146","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3002146","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3003109","perfect","protein homolog model"
"Acinetobacter baumannii","ARO:3003109","perfect_strict","protein homolog model"
"Staphylococcus aureus","ARO:3003109","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3003109","perfect","protein homolog model"
"Salmonella enterica","ARO:3003109","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3003109","perfect","protein homolog model"
"Escherichia coli","ARO:3003109","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3003109","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3003109","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3003109","perfect","protein homolog model"
"Pseudomonas aeruginosa","ARO:3003109","perfect_strict","protein homolog model"
"Proteus mirabilis","ARO:3003109","perfect","protein homolog model"
"Proteus mirabilis","ARO:3003109","perfect_strict","protein homolog model"
"Enterococcus faecium","ARO:3003109","perfect_strict","protein homolog model"
"Serratia marcescens","ARO:3003109","perfect","protein homolog model"
"Serratia marcescens","ARO:3003109","perfect_strict","protein homolog model"
"Acinetobacter pittii","ARO:3003109","perfect","protein homolog model"
"Acinetobacter pittii","ARO:3003109","perfect_strict","protein homolog model"
"Klebsiella oxytoca","ARO:3003109","perfect","protein homolog model"
"Klebsiella oxytoca","ARO:3003109","perfect_strict","protein homolog model"
"Vibrio cholerae","ARO:3003109","perfect","protein homolog model"
"Vibrio cholerae","ARO:3003109","perfect_strict","protein homolog model"
"Aeromonas hydrophila","ARO:3003109","perfect","protein homolog model"
"Aeromonas hydrophila","ARO:3003109","perfect_strict","protein homolog model"
"Pseudomonas stutzeri","ARO:3003109","perfect","protein homolog model"
"Pseudomonas stutzeri","ARO:3003109","perfect_strict","protein homolog model"
"Pasteurella multocida","ARO:3003109","perfect","protein homolog model"
"Pasteurella multocida","ARO:3003109","perfect_strict","protein homolog model"
"Shigella flexneri","ARO:3003109","perfect","protein homolog model"
"Shigella flexneri","ARO:3003109","perfect_strict","protein homolog model"
"Enterobacter cloacae","ARO:3003109","perfect","protein homolog model"
"Enterobacter cloacae","ARO:3003109","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3003109","perfect","protein homolog model"
"Citrobacter freundii","ARO:3003109","perfect_strict","protein homolog model"
"Morganella morganii","ARO:3003109","perfect","protein homolog model"
"Morganella morganii","ARO:3003109","perfect_strict","protein homolog model"
"Enterobacter asburiae","ARO:3003109","perfect","protein homolog model"
"Enterobacter asburiae","ARO:3003109","perfect_strict","protein homolog model"
"Acinetobacter haemolyticus","ARO:3003109","perfect_strict","protein homolog model"
"Proteus vulgaris","ARO:3003109","perfect","protein homolog model"
"Proteus vulgaris","ARO:3003109","perfect_strict","protein homolog model"
"Providencia rettgeri","ARO:3003109","perfect","protein homolog model"
"Providencia rettgeri","ARO:3003109","perfect_strict","protein homolog model"
"Providencia stuartii","ARO:3003109","perfect","protein homolog model"
"Providencia stuartii","ARO:3003109","perfect_strict","protein homolog model"
"Acinetobacter lwoffii","ARO:3003109","perfect","protein homolog model"
"Acinetobacter lwoffii","ARO:3003109","perfect_strict","protein homolog model"
"Acinetobacter nosocomialis","ARO:3003109","perfect","protein homolog model"
"Acinetobacter nosocomialis","ARO:3003109","perfect_strict","protein homolog model"
"Mycobacterium tuberculosis","ARO:3003109","perfect_strict","protein homolog model"
"Acinetobacter johnsonii","ARO:3003109","perfect","protein homolog model"
"Acinetobacter johnsonii","ARO:3003109","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3003109","perfect","protein homolog model"
"Enterobacter hormaechei","ARO:3003109","perfect_strict","protein homolog model"
"Citrobacter werkmanii","ARO:3003109","perfect","protein homolog model"
"Citrobacter werkmanii","ARO:3003109","perfect_strict","protein homolog model"
"Aeromonas veronii","ARO:3003109","perfect_strict","protein homolog model"
"Enterobacter kobei","ARO:3003109","perfect","protein homolog model"
"Enterobacter kobei","ARO:3003109","perfect_strict","protein homolog model"
"Raoultella planticola","ARO:3003109","perfect","protein homolog model"
"Raoultella planticola","ARO:3003109","perfect_strict","protein homolog model"
"Moraxella osloensis","ARO:3003109","perfect","protein homolog model"
"Moraxella osloensis","ARO:3003109","perfect_strict","protein homolog model"
"Acinetobacter junii","ARO:3003109","perfect","protein homolog model"
"Acinetobacter junii","ARO:3003109","perfect_strict","protein homolog model"
"Alcaligenes faecalis","ARO:3003109","perfect_strict","protein homolog model"
"Shigella boydii","ARO:3003109","perfect","protein homolog model"
"Shigella boydii","ARO:3003109","perfect_strict","protein homolog model"
"Acinetobacter defluvii","ARO:3003109","perfect","protein homolog model"
"Acinetobacter defluvii","ARO:3003109","perfect_strict","protein homolog model"
"Acinetobacter indicus","ARO:3003109","perfect","protein homolog model"
"Acinetobacter indicus","ARO:3003109","perfect_strict","protein homolog model"
"Acinetobacter towneri","ARO:3003109","perfect","protein homolog model"
"Acinetobacter towneri","ARO:3003109","perfect_strict","protein homolog model"
"Acinetobacter wuhouensis","ARO:3003109","perfect","protein homolog model"
"Acinetobacter wuhouensis","ARO:3003109","perfect_strict","protein homolog model"
"Citrobacter portucalensis","ARO:3003109","perfect","protein homolog model"
"Citrobacter portucalensis","ARO:3003109","perfect_strict","protein homolog model"
"Comamonas testosteroni","ARO:3003109","perfect","protein homolog model"
"Comamonas testosteroni","ARO:3003109","perfect_strict","protein homolog model"
"Enterobacter roggenkampii","ARO:3003109","perfect","protein homolog model"
"Enterobacter roggenkampii","ARO:3003109","perfect_strict","protein homolog model"
"Klebsiella michiganensis","ARO:3003109","perfect","protein homolog model"
"Klebsiella michiganensis","ARO:3003109","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3003109","perfect","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3003109","perfect_strict","protein homolog model"
"Leclercia adecarboxylata","ARO:3003109","perfect","protein homolog model"
"Leclercia adecarboxylata","ARO:3003109","perfect_strict","protein homolog model"
"Shewanella putrefaciens","ARO:3003109","perfect","protein homolog model"
"Shewanella putrefaciens","ARO:3003109","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3002804","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002804","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002804","perfect_strict","protein homolog model"
"Enterobacter cloacae","ARO:3002804","perfect_strict","protein homolog model"
"Enterobacter asburiae","ARO:3002804","perfect_strict","protein homolog model"
"Providencia stuartii","ARO:3002804","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3002804","perfect_strict","protein homolog model"
"Enterobacter kobei","ARO:3002804","perfect_strict","protein homolog model"
"Enterobacter chengduensis","ARO:3002804","perfect_strict","protein homolog model"
"Enterobacter roggenkampii","ARO:3002804","perfect_strict","protein homolog model"
"Leclercia adecarboxylata","ARO:3002804","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001328","perfect_strict","protein homolog model"
"Staphylococcus aureus","ARO:3001328","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3001328","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3001328","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001328","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3001328","perfect_strict","protein homolog model"
"Listeria monocytogenes","ARO:3001328","perfect_strict","protein homolog model"
"Proteus mirabilis","ARO:3001328","perfect_strict","protein homolog model"
"Klebsiella oxytoca","ARO:3001328","perfect_strict","protein homolog model"
"Shigella sonnei","ARO:3001328","perfect_strict","protein homolog model"
"Shigella dysenteriae","ARO:3001328","perfect_strict","protein homolog model"
"Shigella flexneri","ARO:3001328","perfect_strict","protein homolog model"
"Enterobacter cloacae","ARO:3001328","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3001328","perfect_strict","protein homolog model"
"Citrobacter amalonaticus","ARO:3001328","perfect_strict","protein homolog model"
"Citrobacter koseri","ARO:3001328","perfect_strict","protein homolog model"
"Stenotrophomonas maltophilia","ARO:3001328","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3001328","perfect_strict","protein homolog model"
"Citrobacter werkmanii","ARO:3001328","perfect_strict","protein homolog model"
"Citrobacter youngae","ARO:3001328","perfect_strict","protein homolog model"
"Shigella boydii","ARO:3001328","perfect_strict","protein homolog model"
"Citrobacter portucalensis","ARO:3001328","perfect_strict","protein homolog model"
"Enterobacter roggenkampii","ARO:3001328","perfect_strict","protein homolog model"
"Escherichia albertii","ARO:3001328","perfect_strict","protein homolog model"
"Escherichia fergusonii","ARO:3001328","perfect_strict","protein homolog model"
"Escherichia marmotae","ARO:3001328","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3002528","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3002528","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002528","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002528","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002528","perfect_strict","protein homolog model"
"Klebsiella aerogenes","ARO:3002528","perfect_strict","protein homolog model"
"Proteus mirabilis","ARO:3002528","perfect_strict","protein homolog model"
"Enterococcus faecium","ARO:3002528","perfect_strict","protein homolog model"
"Serratia marcescens","ARO:3002528","perfect_strict","protein homolog model"
"Klebsiella oxytoca","ARO:3002528","perfect_strict","protein homolog model"
"Helicobacter pylori","ARO:3002528","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3002528","perfect_strict","protein homolog model"
"Morganella morganii","ARO:3002528","perfect_strict","protein homolog model"
"Enterobacter asburiae","ARO:3002528","perfect_strict","protein homolog model"
"Pseudomonas fluorescens","ARO:3002528","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3002528","perfect_strict","protein homolog model"
"Legionella pneumophila","ARO:3002528","perfect_strict","protein homolog model"
"Brucella abortus","ARO:3002528","perfect_strict","protein homolog model"
"Klebsiella michiganensis","ARO:3002528","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3002528","perfect_strict","protein homolog model"
"Citrobacter portucalensis","ARO:3002771","perfect","protein homolog model"
"Citrobacter portucalensis","ARO:3002771","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3003198","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3003198","perfect_strict","protein homolog model"
"Klebsiella oxytoca","ARO:3002413","perfect","protein homolog model"
"Klebsiella oxytoca","ARO:3002413","perfect_strict","protein homolog model"
"Klebsiella michiganensis","ARO:3002413","perfect","protein homolog model"
"Klebsiella michiganensis","ARO:3002413","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3000504","perfect","protein homolog model"
"Salmonella enterica","ARO:3000504","perfect_strict","protein homolog model"
"Shigella boydii","ARO:3003550","perfect_strict","protein homolog model"
"Shigella sonnei","ARO:3003550","perfect_strict","protein homolog model"
"Shigella boydii","ARO:3003550","perfect","protein homolog model"
"Staphylococcus pseudintermedius","ARO:3003550","perfect_strict","protein homolog model"
"Citrobacter portucalensis","ARO:3003550","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3003550","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3003550","perfect_strict","protein homolog model"
"Escherichia marmotae","ARO:3003550","perfect_strict","protein homolog model"
"Burkholderia pseudomallei","ARO:3003550","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3003550","perfect","protein homolog model"
"Escherichia coli","ARO:3003550","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3003550","perfect_strict","protein homolog model"
"Shigella flexneri","ARO:3003550","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3003550","perfect_strict","protein homolog model"
"Escherichia albertii","ARO:3003550","perfect_strict","protein homolog model"
"Stenotrophomonas maltophilia","ARO:3003550","perfect_strict","protein homolog model"
"Shigella sonnei","ARO:3003550","perfect","protein homolog model"
"Klebsiella oxytoca","ARO:3003550","perfect_strict","protein homolog model"
"Enterococcus faecium","ARO:3003550","perfect_strict","protein homolog model"
"Escherichia fergusonii","ARO:3003550","perfect_strict","protein homolog model"
"Providencia rettgeri","ARO:3003550","perfect_strict","protein homolog model"
"Haemophilus parainfluenzae","ARO:3003550","perfect_strict","protein homolog model"
"Shigella dysenteriae","ARO:3003550","perfect_strict","protein homolog model"
"Staphylococcus epidermidis","ARO:3003550","perfect_strict","protein homolog model"
"Shigella dysenteriae","ARO:3003550","perfect","protein homolog model"
"Acinetobacter baumannii","ARO:3001808","perfect_strict","protein homolog model"
"Ralstonia pickettii","ARO:3001808","perfect","protein homolog model"
"Ralstonia pickettii","ARO:3001808","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001650","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001650","perfect","protein homolog model"
"Serratia marcescens","ARO:3002380","perfect","protein homolog model"
"Serratia marcescens","ARO:3002380","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002538","perfect_strict","protein homolog model"
"Klebsiella oxytoca","ARO:3002397","perfect","protein homolog model"
"Klebsiella oxytoca","ARO:3002397","perfect_strict","protein homolog model"
"Aeromonas caviae","ARO:3002188","perfect_strict","protein homolog model"
"Listeria monocytogenes","ARO:3000904","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000904","perfect_strict","protein homolog model"
"Klebsiella oxytoca","ARO:3000904","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3000904","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3000904","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000904","perfect","protein homolog model"
"Escherichia coli","ARO:3000904","perfect","protein homolog model"
"Shigella sonnei","ARO:3000904","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000904","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3000904","perfect_strict","protein homolog model"
"Serratia marcescens","ARO:3000904","perfect_strict","protein homolog model"
"Escherichia fergusonii","ARO:3000904","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3000904","perfect_strict","protein homolog model"
"Enterobacter cloacae","ARO:3000904","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001617","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3001617","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001617","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000879","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000879","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001082","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3001082","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3001502","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3001502","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001502","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3001502","perfect","protein homolog model"
"Shigella sonnei","ARO:3002053","perfect","protein homolog model"
"Shigella sonnei","ARO:3002053","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002053","perfect","protein homolog model"
"Escherichia coli","ARO:3002053","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002546","perfect","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3002546","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3002546","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002546","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002546","perfect_strict","protein homolog model"
"Vibrio cholerae","ARO:3002546","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002546","perfect","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002546","perfect","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3002546","perfect","protein homolog model"
"Vibrio cholerae","ARO:3002546","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3002546","perfect_strict","protein homolog model"
"Citrobacter amalonaticus","ARO:3002083","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3002083","perfect_strict","protein homolog model"
"Citrobacter amalonaticus","ARO:3002083","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3001099","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3001099","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3000996","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000996","perfect_strict","protein homolog model"
"Moraxella catarrhalis","ARO:3000996","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000996","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3000996","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002620","perfect_strict","protein homolog model"
"Shigella boydii","ARO:3002620","perfect","protein homolog model"
"Shigella boydii","ARO:3002620","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3002620","perfect_strict","protein homolog model"
"Providencia rettgeri","ARO:3002620","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3002620","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3002620","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002620","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002620","perfect","protein homolog model"
"Salmonella enterica","ARO:3002620","perfect","protein homolog model"
