aro,name,definition,is_a
"ARO:0000001","fluoroquinolone antibiotic","The fluoroquinolones are a family of synthetic broad-spectrum antibiotics that are 4-quinolone-3-carboxylates. These compounds interact with topoisomerase II (DNA gyrase) to disrupt bacterial DNA replication, damage DNA, and cause cell death. [PMID:3802748, PMID:3311572, PMID:23010009]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3005175","perchlozone","Perchlozone is a novel thiosemicarbazone used for the treatment of multidrug-resistant tuberculosis. It is similar to thiacetazone with only a different side chain attached to the thiosemicarbazone moiety. Perchlozone is a prodrug that is activated by ethA and inhibits the HadABC complex. [PMID:33022959, PMID:25704063]","['ARO:3000003 ! antibiotic without defined classification']"
"ARO:3000034","nucleoside antibiotic","Nucleoside antibiotics are made of modified nucleosides and nucleotides with wide-ranging activities and means of antibacterial effects. This drug class includes aminonucleoside antibiotics, which contain an amino group. [PMID:18679046, PMID:3061990]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000171","diaminopyrimidine antibiotic","Diaminopyrimidines are a class of organic compounds containing a pyrimidine ring substituted by two amine groups.  They are inhibitors of dihydrofolate reductase, an enzyme critical for DNA synthesis. [PMID:8195830]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000760","cycloserine","Cycloserine is an anti-mycobacterial agent, and is active against enterobacteria, streptococci, M. tuberculosis, Staphylococcus aureus, and many Gram-negative and Gram-positive bacteria. It inhibits cell wall biosynthesis. [PMID:14479178, PMID:4555420]","['ARO:3000003 ! antibiotic without defined classification']"
"ARO:3000670","pleuromutilin antibiotic","Pleuromutilins are natural fungal products that target bacterial protein translation by binding the the 23S rRNA, blocking the ribosome P site at the 50S subunit. They are mostly used for agriculture and veterinary purposes. [PMID:16569865, PMID:20112168, PMID:15554968, PMID:17360517, PMID:11555289, PMID:931799]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000081","glycopeptide antibiotic","Glycopeptide antibiotics are natural products produced non-ribosomally by Actinomycetales bacteria. With the exception of bleomycins, they act by binding the terminal D-Ala-D-Ala in peptidoglycan precursors of the growing bacterial cell wall and are generally active against Gram-positive bacteria.  This inhibits transglycosylation leading to cell death due to osmotic stress. [PMID:16007453, PMID:3276316, PMID:10232990, PMID:4369274]","['ARO:1000003 ! antibiotic molecule']"
"ARO:0000042","glycylcycline","Glycylcyclines are a new class of antibiotics derived from tetracycline. These tetracycline analogues are specifically designed to overcome two common mechanisms of tetracycline resistance. Presently, there is only one glycylcycline antibiotic for clinical use: tigecycline. It works by inhibiting action of the prokaryotic 30S ribosome, preventing the binding of aminoacyl-tRNA. [PMID:11381101]","['ARO:3000050 ! tetracycline antibiotic']"
"ARO:0000020","carbapenem","Carbapenems are a class of beta-lactam antibiotics with a broad spectrum of antibacterial activity, and have a structure which renders them highly resistant to beta-lactamases. Carbapenem antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms. [PMID:11585791, PMID:15673804]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:0000016","aminoglycoside antibiotic","Aminoglycosides are a group of antibiotics that are mostly effective against Gram-negative bacteria. These molecules consist of aminated sugars attached to a dibasic cyclitol. Aminoglycosides work by binding to the bacterial 30S ribosomal subunit (some work by binding to the 50S subunit), inhibiting the translocation of the peptidyl-tRNA from the A-site to the P-site and also causing misreading of mRNA, leaving the bacterium unable to synthesize proteins vital to its growth. [PMID:10103173, PMID:8385262, PMID:11083623]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000282","sulfonamide antibiotic","Sulfonamides are broad spectrum, synthetic antibiotics that contain the sulfonamide group. Sulfonamides inhibit dihydropteroate synthase, which catalyzes the conversion of p-aminobenzoic acid to dihydropteroic acid as part of the tetrahydrofolic acid biosynthetic pathway. Tetrahydrofolic acid is essential for folate synthesis, a precursor of many nucleotides and amino acids. Many sulfamides are taken with trimethoprim, an inhibitor of dihydrofolate reductase, also disturbing the trihydrofolic acid synthesis pathway. [PMID:15673783]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3004858","Zoliflodacin","Experimental antibiotic in phase two trial for Neisseria gonorrhoeae treatment. [PMID:31730160]","['ARO:3000003 ! antibiotic without defined classification']"
"ARO:3004019","para-aminosalicylic acid","para-aminosalicylic acid (PAS) is an anti-tubercular antibiotic agent, often used in conjunction with Isoniazid for treatment of M. tuberculosis infections. PAS diminishes bacterial cell growth by limiting folic acid production. []","['ARO:3000003 ! antibiotic without defined classification']"
"ARO:3000759","fusidic acid","Fusidic acid is the only commercially available fusidane, a group of steroid-like antibiotics. It is most active against Gram-positive bacteria, and acts by inhibiting elongation factor G to  block protein synthesis. [PMID:7730233, PMID:17980694]","['ARO:3000003 ! antibiotic without defined classification']"
"ARO:0000004","monobactam","Monobactams are a class of beta-lactam antibiotics with a broad spectrum of antibacterial activity, and have a structure which renders them highly resistant to beta-lactamases. Unlike penams and cephems, monobactams do not have any ring fused to its four-member lactam structure. Monobactam antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms. [PMID:15673804, PMID:3871589, PMID:02669628, PMID:11585791]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3001219","elfamycin antibiotic","Elfamycins are molecules that inhibit bacterial elongation factor Tu (EF-Tu), a key protein which brings aminoacyl-tRNA (aa-tRNA) to the ribosome during protein synthesis. Elfamycins defined by their target (EF-Tu), rather than a conserved chemical backbone. Elfamycins follow two mechanisms to disrupt protein synthesis: 1. kirromycins and enacyloxin fix EF-Tu in the GTP bound conformation and lock EF-Tu onto the ribosome, and 2. pulvomycin and GE2270 cover the binding site of aa-tRNA disallowing EF-Tu from being charged with aa-tRNA. All elfamycins cause increased the affinity of EF-Tu for GTP. [PMID:16876786, PMID:12370016]","['ARO:1000003 ! antibiotic molecule']"
"ARO:0000044","cephamycin","Cephamycins are a group of beta-lactam antibiotics, very similar to cephalosporins. Together with cephalosporins, they form a sub-group of antibiotics known as cephems. Cephamycins are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms. The 7-alpha-methoxy group increases resistance to beta-lactamases. [PMID:11585791, PMID:15673804, PMID:3487346]","['ARO:3000276 ! cephem']"
"ARO:3003823","benzalkonium chloride","Benzalkonium chloride is a type of cationic surfactant. It is an organic salt called a quaternary ammonium compound. It has three main categories of use: as a biocide, a cationic surfactant, and as a phase transfer agent. [PMID:9079913]","['ARO:3000003 ! antibiotic without defined classification']"
"ARO:3004116","nitrofuran antibiotic","Nitrofurans are chemotherapeutic agents with antibacterial and antiprotozoal activity. []","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000870","triclosan","Triclosan is a common antibacterial agent added to many consumer products as a biocide.  It is an inhibitor of fatty acid biosynthesis by blocking enoyl-carrier protein reductase (FabI). [PMID:19768684, PMID:10196195]","['ARO:3000003 ! antibiotic without defined classification']"
"ARO:3003706","penem","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:0000025","fosfomycin","Fosfomycin (also known as phosphomycin and phosphonomycin) is a broad-spectrum antibiotic produced by certain Streptomyces species. It is effective on gram positive and negative bacteria as it targets the cell wall, an essential feature shared by both bacteria. Its specific target is MurA (MurZ in E.coli), which attaches phosphoenolpyruvate (PEP) to UDP-N-acetylglucosamine, a step of commitment to cell wall synthesis. In the active site of MurA, the active cysteine molecule is alkylated which stops the catalytic reaction. [PMID:17567049, PMID:5809587, PMID:18701452, PMID:8994972, PMID:8075064]","['ARO:3000003 ! antibiotic without defined classification']"
"ARO:3003474","ethionamide","ethionamide is a second-line antitubercular agent that inhibits mycolic acid synthesis []","['ARO:3000003 ! antibiotic without defined classification']"
"ARO:3003975","pactamycin","Antibiotic produced by Streptomyces pactum, considered a universal translation inhibitor [PMID:9398510]","['ARO:3000003 ! antibiotic without defined classification']"
"ARO:3000079","oxazolidinone antibiotic","Oxazolidinones are a class of synthetic antibiotics discovered the the 1980's.  They inhibit protein synthesis by binding to domain V of the 23S rRNA of the 50S subunit of bacterial ribosomes.  Linezolid is the only member of this class currently in clinical use. [PMID:18757750]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000520","isoniazid","Isoniazid is an organic compound that is the first-line anti tuberculosis medication in prevention and treatment. As a prodrug, it is activated by mycobacterial catalase-peroxidases such as M. tuberculosis KatG. Isoniazid inhibits mycolic acid synthesis, which prevents cell wall synthesis in mycobacteria. [PMID:19139099, PMID:8143118]","['ARO:3000003 ! antibiotic without defined classification']"
"ARO:3000008","penam","Penams, often referred to as penicillins, are a group of antibiotics derived from Penicillium fungi. Penicillin antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms. [PMID:3889939]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3000054","acridine dye","Acridine dyes are cell permeable, basic molecules with an acridine chromophore. These compounds intercalate DNA. The image shown represents the core structure of the acridine family, with specific dyes containing varying substituents. [PMID:11152426]","['ARO:3005386 ! disinfecting agents and intercalating dyes']"
"ARO:0000000","macrolide antibiotic","Macrolides are a group of drugs (typically antibiotics) that have a large macrocyclic lactone ring of 12-16 carbons to which one or more deoxy sugars, usually cladinose and desosamine, may be attached. Macrolides bind to the 50S-subunit of bacterial ribosomes, inhibiting the synthesis of vital proteins. [PMID:15544496, PMID:27480866, PMID:11324679]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000157","rifamycin antibiotic","Rifamycin antibiotics are a group of broad-spectrum ansamycin antibiotics that inhibit bacterial RNA polymerase by binding to a highly conserved region, blocking the oligonucleotide exit tunnel, and preventing the extension of nascent mRNAs. [PMID:15700959]","['ARO:1000003 ! antibiotic molecule']"
